DeathDate,Sterbedatum
Crew,Crew
CurrentCity,aktuelle Stadt
CurrentLeague,aktuelle Liga
CurrentTeam,aktuelle Mannschaft
CurrentWorldChampion,aktueller Weltmeister
Custodian,Aufsichtsperson
Daughter,Tochter
DaylightSavingTimeZone,Sommerzeitzone
Deanery,Dekanat
Demographics,Demografie
Detractor,Kritiker
Diploma,Diplom
Drama,Drama
Drugs.com,drugs.com
Dynasty,Dynastie
EducationPlace,Bildungsstätte
EmmyAward,Emmy Award
EndPoint,Endpunkt
Enemy,Feind
Entourage,Gefolge
Ethnicity,ethnische zugehörigkeit
Existence,Existenz
Explorer,Erforscher
FamilyMember,Familienmitglied
Federation,Verband
Film,film
FirstFlight,erster Flug
FirstOwner,erster Besitzer
FirstPublisher,erster Herausgeber
FlagBearer,Fahnenträger
Flower,Blume
FollowedBy,gefolgt von
Follows,folgt
Friend,Freund
Fuel,Treibstoff
FundedBy,gefördert durch
GalleryItem,Galerieelement
Government,Regierung
GrammyAward,Grammy Award
Guest,Gast
GymApparatus,Fitnessgerät
Hand,Hand
HeadOfFamily,Familienoberhaupt
Headteacher,Schulleiter
Heir,Erbe
HighestMountain,höchster Berg
HighestPoint,höchste Erhebung
HighestPosition,Höchststand
HomeArena,Heimarena
Judge,Richter
LastFamilyMember,letztes Familienmitglied
LastFlight,letzter Flug
LaunchPad,Startrampe
LeftTributary,linker Nebenfluss
LinkedTo,verknüpft
LunarRover,Mondfahrzeug
MainArticleForCategory,Hauptartikel fuer Kategorie
MainIsland,Hauptinsel
MajorIsland,große Insel
Map,Landkarte
Massif,Massiv
Medalist,Medaillengewinner
Media,Medien
MediaItem,Multimediaelement
MeetingBuilding,Tagungsgebäude
MemberOfParliament,Abgeordnete
Mentor,Mentor
Minority,Minderheit
Movie,Film
Musicians,Musiker
NationalFilmAward,Nationaler Filmpreis
NationalOlympicCommittee,Nationales Olympisches Komitee
NationalSelection,nationale Auswahl
Newspaper,Zeitung
Novel,Roman
OldDistrict,Altstadt
OldProvince,alte Provinz
OlympicGames,olympische Spiele
OlympicOathSwornBy,Olympischer Eid
Opponents,Gegner
OrganisationMember,Organisationsmitglied
OriginalStartPoint,ursprünglicher Ausgangspunkt
OtherFunction,andere Funktion
OtherMedia,andere Medien
Painter,Maler
Parliament,Parlament
ParticipatingIn,nimmt Teil an
Patent,Patent
Percentage,Prozent
Performer,Künstler
Period,Veranstaltungsdauer
Perpetrator,Täter
PictureDescription,Bildbeschreibung
PlaceOfWorship,Kultstätte
Plant,Pflanze
PlayerInTeam,Spieler im Team
PolishFilmAward,Polnischer Filmpreis
PoliticalMajority,politische Mehrheit
PrefaceBy,Autor des Vorworts
Prefect,Präfekt
Prefecture,Präfektur
PresentMunicipality,aktuelle Gemeinde
PreviousDemographics,frühere Demografie
PreviousInfrastructure,vorherige Infrastruktur
ProducedBy,hergestellt durch
Produces,produziert
Project,Projekt
Provides,bietet
RaceTrack,Rennstrecke
Radio,Radio
Regency,Regentschaft
RegionalCouncil,Gemeinderat
Resolution,Auflösung
RightTributary,rechter Nebenfluss
Rocket,Rakete
Sea,Meer
Senator,Senator
SetDesigner,Bühnenbildner
Settlement,Siedlung
SexualOrientation,sexuelle Orientierung
ShipCrew,Crew
Show,Sendung
Sibling,Geschwister
Sister,Schwester
Skills,Fähigkeiten
SoccerLeagueRelegated,Absteiger
SoccerLeagueSeason,Saison
SoccerLeagueWinner,Liga-Meister
SoccerTournamentLastChampion,letzter Sieger
SoccerTournamentMostSuccesfull,am erfolgreichsten
SoccerTournamentTopScorer,Torschützenkönig
SolicitorGeneral,Generalstaatsanwalt
Solvent,Lösungsmittel
SolventWithBadSolubility,Lösungsmittel mit schlechter Löslichkeit
SolventWithGoodSolubility,Lösungsmittel mit guter Löslichkeit
SolventWithMediocreSolubility,Lösungsmittel mit mittelmäßiger Löslichkeit
Son,Sohn
Source,Quelle
SovereignCountry,souveräner Staat
Spacestation,raumstation
SpecialEffects,Spezialeffekte
SportDiscipline,Sportdisziplin
StartPoint,Startpunkt
Statistic,statistisch
Style,stil
SubFamily,Unterfamilie
SubGenus,Untergattung
SystemOfLaw,Rechtssystem
TeamCoached,Team gecoacht
TeamManager,Team-Manager
TorchBearer,Fackelträger
Tree,Baum
Tribus,Stämme
TvShow,Fernsehsendung
Uncle,Onkel
Vehicle,Vehikel
Version,Version
ViceLeaderParty,stellvertretender Parteivorsitzende
VoiceType,Stimmlage
WaterwayThroughTunnel,Wasserweg durch Tunnel
Weapon,Waffe
WholeArea,gesamter Bereich
WikiPageUsesTemplate,Wikiseite verwendet Template
WinsInEurope,Siege in Europa
World,Welt
WorldTournament,Weltturnier
YouthClub,Jugendclub
DifferentialDiagnosis,Differentialdiagnose
Jurisdiction,Zuständigkeit
OfficialLanguage,Amtssprache
RestingPlace,Ruhestätte
State,Staat
StylisticOrigin,stilistische Herkunft
Incumbent,Amtsinhaber
Nominee,Kandidat
President,Präsident
GeneralManager,Hauptgeschäftsführer
CrewMember,Besatzungsmitglied
Trustee,Treuhänder
Victim,das Opfer (resource)
TwinCountry,Partnerland
DeathCause,Todesursache
Capital,Hauptstadt
Employer,Arbeitgeber
LargestCity,größte Stadt
AcademicDiscipline,wissenschaftliche Disziplin
AircraftAttack,Flugzeugangriff
AircraftHelicopter,Hubschrauber
AircraftHelicopterAttack,Hubschrauberangriff
AircraftHelicopterMultirole,Mehrzweck-Hubschrauber
Album,Album
Architect,Architekt
Artist,Interpret
Assembly,Montage
Author,autor
Award,Auszeichnung
BandMember,Bandmitglied
BasedOn,basierend auf
Battle,Schlacht
BroadcastArea,Empfangsgebiet
BroadcastNetwork,Sendergruppe
Builder,Baumeister
Campus,Campus
Category,Kategorie
Chain,Kette
Chairman,Vorsitzender
Champion,Meister
Channel,Kanal
Child,Kind
Cinematography,Kinematografie
City,Stadt
Class,Klasse
Coach,Trainer
Colour,Farbe
CommandStructure,Kommandostruktur
Commander,Befehlshaber
Company,Firma
Composer,Komponist
ConstituencyDistrict,Whalbezirk
ConvictionPenalty,Strafe
Country,Land
Cpu,CPU
Creator,Urheber
CurrentMember,aktuelles Mitglied
Deputy,Stellvertreter
Developer,Entwickler
Director,regisseur
Discipline,Disziplin
Discoverer,Entdecker
Disease,Krankheit
District,Bezirk
Editing,Bearbeitung
Editor,Herausgeber
Education,Bildung
Engine,Motor
Engineer,Ingenieur
Event,Veranstaltung
ExecutiveProducer,Ausführender Produzent
Family,familie
FastestDriver,schnellster Fahrer
FastestDriverCountry,schnellster Fahrer Land
FastestDriverTeam,schnellster Fahrer Team
Field,Feld
FirstDriver,erster Fahrer
FirstDriverTeam,Siegerteam
Format,Format
FormerBandMember,ehemaliges Bandmitglied
FoundedBy,gegründet von
Founder,Gründer
Garrison,Garnison
Genre,Genre
Genus,Gattung
GoverningBody,Verwaltungsgremium
GovernmentType,Staatsform
Governor,Gouverneur
HasVariant,Variante oder Variation
HeadChef,Küchenchef
Headquarter,Hauptsitz
HomeStadium,Heimstadion
Hometown,Heimatort
Ideology,Ideologie
Illustrator,Illustrator
Industry,Industrie
Influenced,beeinflusst
InfluencedBy,beeinflusst durch
Ingredient,Zutat
Instrument,Instrument
IsPartOf,ist ein Teil von
IsPartOfMilitaryConflict,ist Teil des militärischen Konflikts
KeyPerson,Schlüsselperson
Kingdom,reich
KnownFor,bekannt für
Language,Sprache
Leader,Führer
League,Liga
License,Lizenz
LiteraryGenre,literarische Gattung
Magazine,Magazin
MaintainedBy,gewartet von
Manager,Manager
Manufacturer,Hersteller
March,Marsch
Material,Material
MediaType,Medientyp
MedicalDiagnosis,medizinische Diagnose
MeetingRoad,zusammentreffende Straße
MergedWith,zusammengeschlossen
MountainRange,Gebirge
Museum,museum
MusicBy,Musik von
MusicComposer,komponist
NamedAfter,benannt nach
Narrator,Erzähler
Nationality,Nationalität
NearestCity,nächstgelegene Stadt
Network,Sendergruppe
NextMission,nächste Mission
Occupation,Beschäftigung
OpeningFilm,Eröffnungsfilm
OperatingSystem,Betriebssystem
Operator,Betreiber
Order,Ordnung
Organisation,Organisation
Origin,Herkunft
OriginalLanguage,Originalsprache
Owner,Eigentümer
OwningCompany,Besitzerfirma
Parent,Elternteil
ParentCompany,Muttergesellschaft
Party,Partei
Patron,Patron
Person,Person
Picture,bild
PoliticalLeader,politischer Führer
PoliticalPartyInLegislature,politische Partei in der Legislative
PoliticalPartyOfLeader,politische Partei des Vorsitzenden
Politician,Politiker
Position,Position
Predecessor,Vorgänger
Presenter,Moderator
PreviousEvent,Vorveranstaltung
PreviousMission,frührere Mission
PreviousWork,früheren Arbeiten
PrimeMinister,Premierminister
Producer,Produzent
Product,Produkt
ProductionCompany,Produktionsfirma
ProgrammingLanguage,Programmiersprache
ProjectCoordinator,Projektkoordinator
ProjectParticipant,Projektteilnehmer
Promotion,Förderung
Province,Provinz
Publisher,Herausgeber
Region,Region
Related,verbunden
Relative,Verwandter
Religion,Religion
Residence,Residenz
RouteEnd,Wegende
RouteJunction,Wegabzweigung
RouteStart,Weganfang
Season,Saison
SecondCommander,zweiter Kommandant
SecondDriver,zweiter Fahrer
SecondTeam,zweites Team
Series,Serie
Service,Dienst
ServingRailwayLine,angebundene Eisenbahnlinie
Similar,ähnlich
Spacecraft,Raumfahrzeug
SplitFromParty,Abspaltung von Partei
Spouse,Ehepartner
Stadium,Stadion
StructuralSystem,Tragsystem
SubsequentWork,nachfolgende Arbeiten
Successor,Nachfolger
Team,Team
Tenant,Mieter
Territory,Gebiet
ThirdDriver,dritter Fahrer
ThirdTeam,dritte Mannschaft
TimeZone,Zeitzone
Translator,Übersetzer
Type,Typ
UsedInWar,im Krieg eingesetzt
Voice,Stimme
Webcast,webcast
Writer,schriftsteller
DeathDate,Sterbedatum
BirthDate,Geburtsdatum
Work,Arbeit
Abstract,abstract
Inchi,Internationale chemische Bezeichnung der IUPAC
FinalPublicationYear,Jahr der finalen Ausgabe
ImpactFactor,Impact Factor
ImpactFactorAsOf,Impact Factor ist von
LineLength,Linienlänge (μ)
MaximumDepth,maximale Tiefe (μ)
NumberOfLawyers,Anzahl Rechtsanwälte
NumberOfStations,Anzahl der Stationen
NumberOfStudents,Zahl der Studierenden
NumberOfVolunteers,Anzahl der Freiwilligen
OpenAccessContent,frei zugänglicher Inhalten
Toll,Maut ($)
TradingName,Handelsname
NumberOfVineyards,Anzahl von Weinbergen
Apprehended,gefasst
CriminalCharge,Strafantrag
FirstLaunch,erster Start
LastLaunch,letzter Start
Motive,Motiv
Chromosome,Chromosom
Depth,Tiefe (μ)
Icd9,ICD9
NumberOfLanes,Anzahl der Fahrstreifen
NumberOfStores,Anzahl an Geschäften
OfficialSchoolColour,offizielle Schulfarbe
SpeedLimit,Tempolimit (kmh)
ElectionDate,Wahltermin
AreaOfCatchment,Einzugsgebiet (m2)
AreaUrban,Stadtgebiet (m2)
AverageDepth,durchschnittliche Tiefe (μ)
BestFinish,beste Platzierung im Ranglistenturnier
Block,Block
CensusYear,Zensusjahr
Closed,geschlossen
Committee,Ausschuss
CommonName,gewöhnlicher Name
Complications,Komplikationen
CountryCode,Ländervorwahl
CurrencyCode,Währungscode
EruptionYear,Jahr des letzten Ausbruchs
FinalFlight,letzter Flug
FirstAscentYear,Jahr der Erstbesteigung
GdpPerCapita,Bruttoinlandsprodukt pro Einwohner
GreekName,griechische Name
GrossDomesticProduct,Bruttoinlandsprodukt
HighestRank,höchster Ranglistenplatz
MaidenFlight,Jungfernflug
MunicipalityCode,Gemeindecode
NumberOfGraduateStudents,Zahl der Studenten
NumberOfPiersInWater,Anzahl der Pfeiler in Wasser
NumberOfVehicles,Anzahl der Fahrzeuge
PopulationUrban,Stadtbevölkerung
RailGauge,Spurweite Eisenbahn (μ)
Ranking,Rangliste
Rating,Wertung
Reservations,Reservierungen
ShoreLength,Uferlänge (μ)
Spike,schmettern
TimeInSpace,Gesamtzeit welche die Person im Weltraum verbracht hat (s)
VoltageOfElectrification,Voltzahl der Elektrifizierung (V)
Watershed,Wasserscheide (m2)
Wins,Siege
ActiveYears,aktive Jahre
Frozen,gefroren
IntroductionDate,Einführungsdatum
OriginallyUsedFor,ursprünglich verwendet für
Portfolio,Portfolio
Victims,die Opfer (string)
Crews,Besatzungen
Missions,Missionen
Orbits,Bahnen
ProjectBudgetTotal,Gesamtprojektbudget ($)
Astronaut/timeInSpace,Gesamtzeit welche die Person im Weltraum verbracht hat (m)
Automobile/fuelCapacity,Kraftstoffkapazität (l)
Automobile/wheelbase,Radstand (mm)
ChemicalSubstance/boilingPoint,Siedepunkt (K)
ChemicalSubstance/density,Dichte (μ3)
ChemicalSubstance/meltingPoint,Schmelzpunkt (K)
ConveyorSystem/diameter,Durchmesser (μ)
ConveyorSystem/height,Höhe (mm)
ConveyorSystem/length,Länge (mm)
ConveyorSystem/mass,Masse (kg)
ConveyorSystem/weight,Gewicht (kg)
ConveyorSystem/width,Breite (mm)
Drug/boilingPoint,Siedepunkt (K)
Drug/meltingPoint,Schmelzpunkt (K)
Engine/acceleration,Beschleunigung (s)
Engine/diameter,Durchmesser (mm)
Engine/height,Höhe (mm)
Engine/length,Länge (mm)
Engine/powerOutput,Ausgangsleistung (kW)
Engine/topSpeed,Höchstgeschwindigkeit (kmh)
Engine/weight,Gewicht (kg)
Engine/width,Breite (mm)
Escalator/diameter,Durchmesser (μ)
Escalator/height,Höhe (mm)
Escalator/length,Länge (mm)
Escalator/mass,Masse (kg)
Escalator/weight,Gewicht (kg)
Escalator/width,Breite (mm)
Galaxy/apoapsis,Apoapsisdistanz (km)
Galaxy/averageSpeed,Durchschnittsgeschwindigkeit (km/s)
Galaxy/density,Dichte (μ3)
Galaxy/mass,Masse (kg)
Galaxy/maximumTemperature,Maximaltemperatur (K)
Galaxy/meanRadius,durchschnittlicher Radius (km)
Galaxy/meanTemperature,Durchschnittstemperatur (K)
Galaxy/minimumTemperature,geringste Temperatur (K)
Galaxy/orbitalPeriod,Umlaufzeit (μ)
Galaxy/periapsis,Periapsisdistanz (km)
Galaxy/surfaceArea,Oberfläche (km2)
Galaxy/temperature,Temperatur (K)
Galaxy/volume,Volumen (km3)
GeopoliticalOrganisation/populationDensity,Bevölkerungsdichte (/sqkm)
GrandPrix/distance,Entfernung (km)
Infrastructure/length,Länge (km)
Lake/areaOfCatchment,Einzugsgebiet (km2)
Lake/shoreLength,Uferlänge (km)
Lake/volume,Volumen (μ³)
LunarCrater/diameter,Durchmesser (km)
MeanOfTransportation/diameter,Durchmesser (μ)
MeanOfTransportation/height,Höhe (mm)
MeanOfTransportation/length,Länge (mm)
MeanOfTransportation/mass,Masse (kg)
MeanOfTransportation/weight,Gewicht (kg)
MeanOfTransportation/width,Breite (mm)
MovingWalkway/diameter,Durchmesser (μ)
MovingWalkway/height,Höhe (mm)
MovingWalkway/length,Länge (mm)
MovingWalkway/mass,Masse (kg)
MovingWalkway/weight,Gewicht (kg)
MovingWalkway/width,Breite (mm)
On-SiteTransportation/diameter,Durchmesser (μ)
On-SiteTransportation/height,Höhe (mm)
On-SiteTransportation/length,Länge (mm)
On-SiteTransportation/mass,Masse (kg)
On-SiteTransportation/weight,Gewicht (kg)
On-SiteTransportation/width,Breite (mm)
Person/height,Höhe (cm)
Person/weight,Gewicht (kg)
Planet/apoapsis,Apoapsisdistanz (km)
Planet/averageSpeed,Durchschnittsgeschwindigkeit (km/s)
Planet/density,Dichte (μ3)
Planet/mass,Masse (kg)
Planet/maximumTemperature,Maximaltemperatur (K)
Planet/meanRadius,durchschnittlicher Radius (km)
Planet/meanTemperature,Durchschnittstemperatur (K)
Planet/minimumTemperature,geringste Temperatur (K)
Planet/orbitalPeriod,Umlaufzeit (μ)
Planet/periapsis,Periapsisdistanz (km)
Planet/surfaceArea,Oberfläche (km2)
Planet/temperature,Temperatur (K)
Planet/volume,Volumen (km3)
PopulatedPlace/area,Fläche (km2)
PopulatedPlace/areaTotal,Fläche (km2)
PopulatedPlace/areaUrban,Stadtgebiet (km2)
PopulatedPlace/populationDensity,Bevölkerungsdichte (/sqkm)
Rocket/mass,Masse (kg)
Software/fileSize,Dateigröße (MB)
SpaceMission/distanceTraveled,Zurückgelegte Entfernung (km)
SpaceMission/lunarOrbitTime,Mondumlaufzeit (ω)
SpaceMission/mass,Masse (kg)
SpaceMission/missionDuration,Missionsdauer (μ)
SpaceShuttle/distance,Entfernung (km)
SpaceShuttle/timeInSpace,Gesamtzeit welche die Person im Weltraum verbracht hat (μ)
SpaceStation/volume,Volumen (μ³)
Spacecraft/apoapsis,Apoapsisdistanz (km)
Spacecraft/dryCargo,Trockenfracht (kg)
Spacecraft/periapsis,Periapsisdistanz (km)
Spacecraft/totalMass,Gesamtmasse (kg)
Stream/watershed,Wasserscheide (km2)
Weapon/diameter,Durchmesser (mm)
Weapon/height,Höhe (mm)
Weapon/length,Länge (mm)
Weapon/weight,Gewicht (kg)
Weapon/width,Breite (mm)
Work/runtime,Laufzeit (m)
ASide,Single
AbbeychurchBlessing,Abteikirche weihe
AbleToGrind,mahlenfähig
Abstentions,Anzahl der Enthaltungen nach der Abstimmung
Access,Zugriff
AccessDate,Zugriffsdatum
AdministrativeStatus,administrativer Status
AfdbId,AFDB ID
Age,Alter
AircraftType,Flugzeugtyp
AirportUsing,Unterschiedliche Nutzung eines Flughafens
AlbumRuntime,Album Länge (s)
AlternativeTitle,alternativer Titel
AmateurTitle,Amateurtitel
AnnualTemperature,Jahrestemperatur (K)
Appearance,Erscheinungsbild
ArchitecturalMovement,Architekturbewegung
Army,Armee
Ascent,Aufstieg
AtPage,Seitenzahl
AtRowNumber,Zeilennummer
AtomicNumber,Ordnungszahl
Average,Durchschnitt
AwayColourHexCode,Farben Hex Code des Auswärtstrikots oder Teile dieses
Backhand,Rückhand
BadGuy,Bösewicht
Believers,Gläubige
BestLap,beste Runde
Bioclimate,Bioklima
Blazon,Wappen
BloodGroup,Blutgruppe
BronzeMedalDouble,Bronzemedaille Doppel
BronzeMedalMixed,Bronzemedaille gemischt
BronzeMedalSingle,Bronzemedaille Einzel
BudgetYear,Haushaltsjahr
CableCar,Drahtseilbahn
CanBaggageChecked,Gepäckkontrolle möglich
CapitalCoordinates,Hauptstadt Koordinaten
Carcinogen,Karzinogen
Case,Fall
CauseOfDeath,Todesursache
CenturyBreaks,Century Breaks
Circle,Region
CityRank,Rang Stadt
ClothingSize,Konfektionsgröße
Coalition,Koalition
CoastLength,Länge einer Küste
CoastLine,Küste (μ)
CodeBook,Gesetzbuch
CodeListOfHonour,Code Ehrenliste
ColonialName,Kolonialname
Command,Befehl
Comment,Kommentar
Commissioner,Kommissar
Consecration,Weihe
ContinentRank,Rang Kontinent
CountryRank,Rang Land
CreationYear,Entstehungsjahr
CrewSize,Besatzungsstärke
Criteria,Kriterien
CurrentRank,aktueller Ranglistenplatz
DateConstruction,Bauzeit
DateLastUpdated,Datum der letzten Aktualisierung
DateOfBurial,Datum der Beerdigung
DeathAge,Sterbealter
Debut,Debüt
Defeat,Niederlage
DefeatAsMgr,Niederlage als Trainer
DerivedWord,abgeleitetes Wort
Discovery,Datum als die Insel entdeckt wurde
DistanceToCapital,entfernung zur hauptstadt (μ)
DistanceTraveled,Zurückgelegte Entfernung (μ)
DocumentNumber,Dokumentnummer
DryCargo,Trockenfracht (g)
ElementBlock,Block des Periodensystems
ElementGroup,Gruppe des Periodensystems
ElementPeriod,Periode des Periodensystems
EndYear,Startjahr
EndangeredSince,gefährdet seit
Episode,Folge
Eruption,Ausbruch
EuropeanChampionship,Europameisterschaft
EventDate,Veranstaltungstermin
Expedition,Expedition
EyeColour,Augenfarbe
Eyes,Augen
Fauna,Fauna
Fight,Kampf
Fighter,Kämpfer
FilmRuntime,Filmlaufzeit (s)
FinalLost,Finale verloren
FinalPublicationDate,Datum der finalen Ausgabe
FirstAscent,Erstbesteigung
FirstBroadcast,Erstausstrahlung
FirstLaunchDate,erster Starttermin
FirstMention,erste Erwähnung
FirstPlace,erster Platz
FirstProMatch,erstes Profispiel
Flag,Flagge
Flora,Flora
Forces,Streitkräfte
Formula,Formel
Foundation,Gründung
FuelCapacity,Kraftstoffkapazität (μ³)
FuelConsumption,Kraftstoffverbrauch
Geology,Geologie
GoalsInLeague,Tore in der Liga
GoalsInNationalTeam,Tore in der Nationalmannschaft
Grave,Grab
Gun,Flugabwehrkanone
HairColour,Haarfarbe
HighestBreak,Höchstes Break
HighestPointIsland,höchste Erhebung der Insel
HipSize,Hüftumfang (μ)
HistoricalMap,historische Karte
HistoricalName,historischer Name
HistoricalRegion,historische Region
Homage,Huldigung
HomeColourHexCode,Farben Hex Code des Heimtrikots oder Teile dieses
Icd1,ICD1
Illiteracy,Analphabetismus
Income,Einkommen
IndividualisedGnd,Gemeinsame Normdatei
IndividualisedPnd,Personennamendatei
InfantMortality,Säuglingssterblichkeit
Information,Informationen
InitiallyUsedFor,anfänglich verwendet
InternationalPhonePrefix,internationale Vorwahl
Internationally,international
IsCityState,ist ein Stadtstaat
IsoCode,ISO-Code eines Ortes
KilledBy,getötet von
KindOfRock,Art von Gestein
LandingSite,Landeplatz
LanguageCode,Sprachcode
LastLaunchDate,letzter Starttermin
LastProMatch,erstes Profispiel
Leadership,Führung
LifeExpectancy,Lebenserwartung
LocalPhonePrefix,lokale Vorwahl
LunarModule,Mondfähre
LunarOrbitTime,Mondumlaufzeit (s)
MainBuilding,Hauptgebäude
MainIslands,Hauptinseln
Mandate,politisches Mandat
MarketCapitalisation,Marktkapitalisierung ($)
MaxAbsoluteMagnitude,maximale absolute Helligkeit
MaxApparentMagnitude,maximale scheinbare Helligkeit
MaximumArea,maximale Fläche
Measurements,Messungen
MeltingPoint,Schmelzpunkt (K)
Member,Mitglied
MilitaryFunction,militärische Funktion
MilitaryGovernment,Militärregierung
MinimumArea,Mindestfläche
ModelLineVehicle,Baureihe
MolarMass,Molare Masse
MolecularWeight,Molekulargewicht
Mood,Stimmung
MunicipalityRenamedTo,neuer Name einer Gemeinde
MunicipalityType,Gemeindetyp
MusicFormat,musikFormate
MusicalKey,Tonart
NameAsOf,so genannt seit
NameInJapanese,Name auf japanisch
Names,Namen
Nation,Nation
NationalChampionship,nationale Meisterschaft
NciId,NCI
NeighbourRegion,Nachbarregion
NotifyDate,Benachrichtigungsdatum
NumberOfAcademicStaff,Anzahl der wissenschaftlichen Mitarbeiter
NumberOfAlbums,Anzahl der Alben
NumberOfBombs,Anzahl der Bomben
NumberOfBronzeMedalsWon,Anzahl der gewonnenen Bronzemedaillen
NumberOfClubs,Anzahl der Clubs
NumberOfCollectionItems,Anzahl der Elemente in der Sammlung
NumberOfCompetitors,Anzahl der Wettbewerber
NumberOfCounties,Anzahl der Landkreise
NumberOfDistricts,Anzahl der Bezirke
NumberOfFederalDeputies,Anzahl der Bundesabgeordneten
NumberOfFilms,Anzahl der Filme
NumberOfGoldMedalsWon,Anzahl der Goldmedaillen
NumberOfGraves,Anzahl der Gräber
NumberOfHouses,Anzahl der vorhandenen Häuser
NumberOfIsland,Anzahl der Inseln
NumberOfIslands,Anzahl der Inseln
NumberOfLaps,Anzahl der Runden
NumberOfLaunches,Anzahl von Starts
NumberOfLiveAlbums,Anzahl von Live-Alben
NumberOfMinistries,Zahl der Ministerien
NumberOfMunicipalities,Anzahl der Gemeinden
NumberOfOfficials,Zahl der Beamten
NumberOfParticipatingAthletes,Anzahl der teilnehmenden Athleten
NumberOfParticipatingFemaleAthletes,Zahl der teilnehmenden Sportlerinnen
NumberOfParticipatingMaleAthletes,Anzahl der teilnehmenden männlichen Athleten
NumberOfParticipatingNations,Anzahl der teilnehmenden Nationen
NumberOfPeopleAttending,Zahl der Teilnehmer
NumberOfPixels,Anzahl der Pixel (Millionen)
NumberOfPlayers,Anzahl der Spieler
NumberOfProfessionals,Anzahl von Fachleuten
NumberOfReactors,Anzahl der Reaktoren
NumberOfRockets,Anzahl der Raketen
NumberOfSeats,Anzahl der Sitze
NumberOfSeatsInParliament,Anzahl der Sitze im Parlament
NumberOfSettlement,Zahl der Siedlungen
NumberOfSilverMedalsWon,Anzahl der Silbermedaillen
NumberOfSpeakers,Anzahl Sprecher
NumberOfSportsEvents,Anzahl der Sportveranstaltungen
NumberOfStars,Anzahl der Sterne
NumberOfStudioAlbums,Zahl der Studio-Alben
NumberOfVillages,Anzahl der Dörfer
Observatory,Observatorium
Odor,Geruch
OfficialName,offizieller Name
OldName,alter Name
OrbitalInclination,Bahnneigung
Orientation,Orientierung
OriginalTitle,Originaltitel
OtherActivity,andere Aktivität
OtherInformation,andere Informationen einer Siedlung
OtherLanguage,anderen Sprache einer Siedlung
OtherName,anderer Name
OtherWins,Sonstige Siege
ParliamentaryGroup,Fraktion
PartitionCoefficient,Verteilungskoeffizient
PerCapitaIncome,Pro-Kopf-Einkommen ($)
PercentageAlcohol,Anteil von Alkohol
PercentageFat,Fettgehalt
PhonePrefix,Telefonvorwahl
Piercing,Piercing
PlayerStatus,Spielerstatus
PlayingTime,Spielzeit (s)
Pluviometry,Regenmessung
Podium,Podest
Pole,Pol
PoliticalFunction,politische Funktion
PopularVote,Anzahl der Stimmen für Kandidaten
Power,Macht
Prefix,Präfix
PresentName,heutiger Name einer Gemeinde
PreviousName,früheren Namen
Price,Preis ($)
Procedure,Verfahren
ProductionYears,Produktionsjahre
ProjectEndDate,Projektende
ProjectObjective,Projektziel
ProjectType,Projekttyp
Publication,Veröffentlichung
PubliclyAccessible,öffentlich zugänglich
Quotation,Zitat
RaceLength,Rennlänge (μ)
RaceWins,Siege
Rank,Platzierung
RankingsDoubles,Doppelrangliste
RankingsSingles,Einzelrangliste
Refgen,Referenz für allgemeine Daten
Refgeo,Referenz für geographische Daten
Refpol,Referenz für politische Daten
RegionalPrefecture,regionale Präfektur
Registration,Anmeldung
RegistryNumber,Registrierungsnummer
Reopened,wieder eröffnet
Representative,Zahl der Vertreter
Requirement,Anforderung
RestingDate,Bestattungsdatum
Review,Rezension
RoofHeight,Höhe Dach
Route,Route
RouteDirection,Himmelsrichtung des Verkehrsweges
Ruling,Entscheidung
Salary,Gehalt ($)
SameName,gleicher Name
Satellite,Satellit
Scale,Maßstab
Scene,Szene
ScientificName,wissenschaftlicher Name
SecondPlace,zweiter Platz
Security,Sicherheit
SelectionYear,Auswahljahr
Sentence,Satz
ShareOfAudience,Anteil der Zuschauer/Zuhörer
ShoeSize,Schuhgröße
SilverMedalDouble,Silbermedaille Doppel
SilverMedalMixed,Silbermedaille gemischt
SilverMedalSingle,Silbermedaille Einzel
SixthFormStudents,Schüler der Oberstufe
SizeMap,Größe der Karte
SkiLift,Skilift
SkiPisteKilometre,Skipiste km (μ)
SkiPisteNumber,Skipistennummer
Solubility,Löslichkeit
Space,Raum
SpacewalkBegin,Beginn Weltraumspaziergang
SpacewalkEnd,Ende Weltraumspaziergang
Speciality,Spezialität
SpouseName,Name des Ehepartners
SubMunicipalityType,Art der Gemeinde
Subsystem,Teilsystem
SwimmingStyle,Schwimmstil
SystemRequirements,Mindestsystemanforderungen
Taste,Geschmack oder Aroma
Tattoo,Tätowierung
Technique,technisch
TempPlace,vorläufige Chartplatzierung
TemplateName,Templatename
Temple,Tempel
TermOfOffice,Amtszeit
Theology,Theologie
ThirdPlace,dritter Platz
Tie,Unentschieden
TitleDouble,Doppeltitel
TitleSingle,Einzeltitel
TopFloorHeight,Höhe der höchsten Etage
Topic,Thema
TotalMass,Gesamtmasse (g)
TournamentOfChampions,Turnier der Meister
TowerHeight,Turmhöhe
TrackNumber,Titelnummer
TypeOfGrain,Getreideart (Weizen usw.)
TypeOfStorage,Art der Lagerung
TypeOfYeast,Hefearte
UnNumber,UN Nummer
Unicode,Unicode
UrbanArea,Stadtgebiet
Usk,zugelassene Bewertung der Unterhaltungssoftware Selbstkontrolle in Deutschland
